year   day  hour  min   field
2018   1  0  0   -6.42
2018   1  0  1   -5.39
2018   1  0  2   -5.05
2018   1  0  3   -5.18
2018   1  0  4   -5.59
2018   1  0  5   -6.23
2018   1  0  6   -5.54
2018   1  0  7   -5.75
2018   1  0  8   -4.62
2018   1  0  9   -4.78
2018   1  0 10   -5.03
2018   1  0 11   -6.11
2018   1  0 12   -5.69
2018   1  0 13   -6.13
2018   1  0 14   -6.07
2018   1  0 15   -6.34
2018   1  0 16   -6.61
2018   1  0 17   -5.66
2018   1  0 18   -5.75
2018   1  0 19   -5.75
2018   1  0 20   -4.76
2018   1  0 21   -5.02
2018   1  0 22   -4.85
2018   1  0 23   -5.35
2018   1  0 24   -5.02
2018   1  0 25   -3.97
2018   1  0 26   -7.23
2018   1  0 27   -8.04
2018   1  0 28   -7.20
2018   1  0 29   -5.53
2018   1  0 30   -6.02
2018   1  0 31   -4.20
2018   1  0 32   -3.59
2018   1  0 33   -1.20
2018   1  0 34   -3.45
2018   1  0 35   -6.19
2018   1  0 36   -7.69
2018   1  0 37   -7.00
2018   1  0 38   -4.94
2018   1  0 39   -6.38
2018   1  0 40   -6.81
2018   1  0 41   -4.91
2018   1  0 42   -4.83
2018   1  0 43   -5.19
2018   1  0 44   -5.60
2018   1  0 45   -4.82
2018   1  0 46   -5.51
2018   1  0 47   -6.07
2018   1  0 48   -5.48
2018   1  0 49   -5.59
2018   1  0 50   -5.13
2018   1  0 51   -3.59
2018   1  0 52   -3.40
2018   1  0 53   -3.33
2018   1  0 54   -3.41
2018   1  0 55   -3.06
2018   1  0 56   -3.56
2018   1  0 57   -1.35
2018   1  0 58    0.66
2018   1  0 59    2.11
2018   1  1  0    2.29
2018   1  1  1   -0.69
2018   1  1  2   -2.95
2018   1  1  3   -1.63
2018   1  1  4   -3.29
2018   1  1  5   -4.61
2018   1  1  6   -4.03
2018   1  1  7   -3.19
2018   1  1  8   -4.17
2018   1  1  9   -4.67
2018   1  1 10   -4.39
2018   1  1 11   -3.50
2018   1  1 12   -3.25
2018   1  1 13   -3.31
2018   1  1 14   -4.70
2018   1  1 15   -5.34
2018   1  1 16   -5.92
2018   1  1 17   -5.29
2018   1  1 18   -4.76
2018   1  1 19   -4.80
2018   1  1 20   -3.48
2018   1  1 21   -3.32
2018   1  1 22   -3.17
2018   1  1 23   -2.95
2018   1  1 24   -3.41
2018   1  1 25   -4.05
2018   1  1 26   -3.94
2018   1  1 27   -4.50
